"id","code","name"
"__export__.hr_employee_tipoabsentismo_1","2","ACCIDENTE DE TRABAJO"
"__export__.hr_employee_tipoabsentismo_2","19","ACCIDENTE NO LABORAL"
"__export__.hr_employee_tipoabsentismo_3","7","ASISTENCIA A EXÁMENES"
"__export__.hr_employee_tipoabsentismo_4","18","ASISTENCIA MUTUA SIN BAJA"
"__export__.hr_employee_tipoabsentismo_5","14","ASUNTOS PROPIOS"
"__export__.hr_employee_tipoabsentismo_6","31","CAMBIO DE TURNO"
"__export__.hr_employee_tipoabsentismo_7","8","CONSULTA MÉDICA JUSTIFICADA"
"__export__.hr_employee_tipoabsentismo_8","21","CURSO"
"__export__.hr_employee_tipoabsentismo_9","9","DÍAS DE LLUVIA"
"__export__.hr_employee_tipoabsentismo_10","1","ENFERMEDAD"
"__export__.hr_employee_tipoabsentismo_11","34","ENFERMEDAD PROFESIONAL"
"__export__.hr_employee_tipoabsentismo_12","5","EXCEDENCIA"
"__export__.hr_employee_tipoabsentismo_13","15","FALLECIMIENTO FAMILIAR"
"__export__.hr_employee_tipoabsentismo_14","16","FALTA JUSTIFICADA"
"__export__.hr_employee_tipoabsentismo_15","24","FALTA SIN JUSTIFICAR"
"__export__.hr_employee_tipoabsentismo_16","28","FORMACIÓN TEÓRICA (CTO DE FORMACIÓN)"
"__export__.hr_employee_tipoabsentismo_17","12","HORAS SINDICALES"
"__export__.hr_employee_tipoabsentismo_18","29","HUELGA"
"__export__.hr_employee_tipoabsentismo_19","13","INGRESO FAMILIAR"
"__export__.hr_employee_tipoabsentismo_20","6","LACTANCIA"
"__export__.hr_employee_tipoabsentismo_21","25","LICENCIA"
"__export__.hr_employee_tipoabsentismo_22","4","MATERNIDAD"
"__export__.hr_employee_tipoabsentismo_23","26","MOTIVOS FAMILIARES"
"__export__.hr_employee_tipoabsentismo_24","27","OTROS"
"__export__.hr_employee_tipoabsentismo_25","32","PAGO DIRECTO"
"__export__.hr_employee_tipoabsentismo_26","33","PARTE DE CONFIRMACIÓN"
"__export__.hr_employee_tipoabsentismo_27","11","PATERNIDAD"
"__export__.hr_employee_tipoabsentismo_28","10","PERMISO DE BODA"
"__export__.hr_employee_tipoabsentismo_29","23","PERMISO NO RETRIBUIDO"
"__export__.hr_employee_tipoabsentismo_30","17","REPOSO"
"__export__.hr_employee_tipoabsentismo_31","3","RIESGO EMBARAZO"
"__export__.hr_employee_tipoabsentismo_32","20","SOLICITUD ASISTENCIA MÉDICA"
"__export__.hr_employee_tipoabsentismo_33","30","SUSPENSIÓN DE EMPLEO Y SUELDO"
"__export__.hr_employee_tipoabsentismo_34","22","VACACIONES"
