"id","code","name"
"__export__.hr_employee_categoriapuesto_7393","68","ADMINISTRATIVO DE OBRA"
"__export__.hr_employee_categoriapuesto_7394","73","ANALISTA PROGRAMADOR"
"__export__.hr_employee_categoriapuesto_7395","19","APRENDIZ"
"__export__.hr_employee_categoriapuesto_7396","75","ARQUITECTO TÉCNICO"
"__export__.hr_employee_categoriapuesto_7397","78","AUXILIAR ADMINISTRATIVO"
"__export__.hr_employee_categoriapuesto_7398","35","AUXILIAR DE JARDINERÍA"
"__export__.hr_employee_categoriapuesto_7399","33","AUXILIAR DE VENTAS"
"__export__.hr_employee_categoriapuesto_7400","118","AUXILIAR TÉCNICO"
"__export__.hr_employee_categoriapuesto_7401","27","AYUDANTE DE TOPOGRAFÍA"
"__export__.hr_employee_categoriapuesto_7402","117","AYUDANTE TÉCNICO"
"__export__.hr_employee_categoriapuesto_7403","119","AZAFATA/O"
"__export__.hr_employee_categoriapuesto_7404","18","BECARIO"
"__export__.hr_employee_categoriapuesto_7405","97","BIR CONDUCTOR"
"__export__.hr_employee_categoriapuesto_7406","96","BIR PEÓN ESPECIALISTA"
"__export__.hr_employee_categoriapuesto_7407","95","BRIAUX CORRETURNOS"
"__export__.hr_employee_categoriapuesto_7408","88","BRIFOR CONDUCTOR"
"__export__.hr_employee_categoriapuesto_7409","61","BRIGADA DE RECOGIDA"
"__export__.hr_employee_categoriapuesto_7410","92","BRIHELI CAPATAZ B"
"__export__.hr_employee_categoriapuesto_7411","91","BRIHELI PEÓN ESPECIALISTA"
"__export__.hr_employee_categoriapuesto_7412","23","CAPATAZ"
"__export__.hr_employee_categoriapuesto_7414","47","CONDUCTOR"
"__export__.hr_employee_categoriapuesto_7415","46","CONDUCTOR LIMPIEZA"
"__export__.hr_employee_categoriapuesto_7416","45","CONDUCTOR RECOGIDA"
"__export__.hr_employee_categoriapuesto_7417","121","CONTROLADOR ACCESOS"
"__export__.hr_employee_categoriapuesto_7418","66","COORDINADOR GENERAL"
"__export__.hr_employee_categoriapuesto_7419","105","CRISTALERO"
"__export__.hr_employee_categoriapuesto_7420","28","DELINEANTE"
"__export__.hr_employee_categoriapuesto_7421","8","DIPLOMADO MEDIO"
"__export__.hr_employee_categoriapuesto_7422","3","DIRECTOR"
"__export__.hr_employee_categoriapuesto_7423","2","DIRECTOR GENERAL"
"__export__.hr_employee_categoriapuesto_7424","57","DIRECTOR TÉCNICO"
"__export__.hr_employee_categoriapuesto_7425","103","DOCUMENTALISTA"
"__export__.hr_employee_categoriapuesto_7426","115","ECO CORRETURNOS"
"__export__.hr_employee_categoriapuesto_7427","89","ECO VIGILANTE 16 HORAS"
"__export__.hr_employee_categoriapuesto_7428","90","ECO VIGILANTE 24 HORAS"
"__export__.hr_employee_categoriapuesto_7429","22","ENCARGADO/A"
"__export__.hr_employee_categoriapuesto_7430","101","ESPECIALISTA"
"__export__.hr_employee_categoriapuesto_7431","67","GRUISTA"
"__export__.hr_employee_categoriapuesto_7432","29","GUARDA JURADO"
"__export__.hr_employee_categoriapuesto_7433","52","GUÍA MONITOR"
"__export__.hr_employee_categoriapuesto_7434","83","INFORMADOR"
"__export__.hr_employee_categoriapuesto_7435","102","INFORMADOR JEFE"
"__export__.hr_employee_categoriapuesto_7436","60","INFORMÁTICO"
"__export__.hr_employee_categoriapuesto_7437","69","INGENIERO DE MONTES"
"__export__.hr_employee_categoriapuesto_7438","74","INGENIERO SUPERIOR"
"__export__.hr_employee_categoriapuesto_7439","5","INGENIERO TÉCNICO"
"__export__.hr_employee_categoriapuesto_7440","4","INGENIERO TÉCNICO OBRAS"
"__export__.hr_employee_categoriapuesto_7441","42","INSPEC. RECOGIDA"
"__export__.hr_employee_categoriapuesto_7442","114","INSPECTOR CONTROL"
"__export__.hr_employee_categoriapuesto_7443","62","INSPECTOR LIMPIEZA"
"__export__.hr_employee_categoriapuesto_7444","104","INSPECTOR NOCHE"
"__export__.hr_employee_categoriapuesto_7445","36","JARDINERO"
"__export__.hr_employee_categoriapuesto_7446","13","JEFE ADMINISTRACIÓN"
"__export__.hr_employee_categoriapuesto_7447","20","JEFE DE OBRA"
"__export__.hr_employee_categoriapuesto_7448","21","JEFE DE PRODUCCIÓN"
"__export__.hr_employee_categoriapuesto_7449","76","JEFE DE SERVICIO"
"__export__.hr_employee_categoriapuesto_7450","65","JEFE DINAMIZADORES"
"__export__.hr_employee_categoriapuesto_7451","56","LICENCIADO"
"__export__.hr_employee_categoriapuesto_7452","48","LIMPIADOR/A"
"__export__.hr_employee_categoriapuesto_7453","31","MECÁNICO"
"__export__.hr_employee_categoriapuesto_7454","53","MONITOR"
"__export__.hr_employee_categoriapuesto_7455","38","MOTOSERRISTA"
"__export__.hr_employee_categoriapuesto_7456","64","MOZO"
"__export__.hr_employee_categoriapuesto_7457","80","OF. ADMVO"
"__export__.hr_employee_categoriapuesto_7458","16","OFICIAL ADMINISTRACIÓN OBRAS"
"__export__.hr_employee_categoriapuesto_7459","106","OFICIAL ADMINISTRATIVO"
"__export__.hr_employee_categoriapuesto_7460","14","OFICIAL ADMINISTRATIVO 1ª"
"__export__.hr_employee_categoriapuesto_7461","55","OFICIAL ADMINISTRATIVO 2ª"
"__export__.hr_employee_categoriapuesto_7462","44","OFICIAL CONDUCTOR"
"__export__.hr_employee_categoriapuesto_7463","34","OFICIAL JARDINERÍA"
"__export__.hr_employee_categoriapuesto_7464","32","OFICIAL MECÁNICO"
"__export__.hr_employee_categoriapuesto_7465","24","OFICIAL 1ª"
"__export__.hr_employee_categoriapuesto_7466","25","OFICIAL 2ª"
"__export__.hr_employee_categoriapuesto_7467","99","OPER. COMUNICACIONES - SORC"
"__export__.hr_employee_categoriapuesto_7468","112","OPERADOR METEREOLOGÍA"
"__export__.hr_employee_categoriapuesto_7469","94","OPERARIO ALMACÉN"
"__export__.hr_employee_categoriapuesto_7470","100","OPERARIO DE RECOGIDA DE ANIMALES"
"__export__.hr_employee_categoriapuesto_7471","63","OPERARIO LIMPIEZA"
"__export__.hr_employee_categoriapuesto_7472","109","OPERARIO MANTENIMIENTO DE RED"
"__export__.hr_employee_categoriapuesto_7473","43","PEÓN"
"__export__.hr_employee_categoriapuesto_7474","84","PEÓN ALBAÑIL"
"__export__.hr_employee_categoriapuesto_7475","93","PEÓN DE OFICIOS VARIOS"
"__export__.hr_employee_categoriapuesto_7476","39","PEÓN ESPECIALISTA"
"__export__.hr_employee_categoriapuesto_7477","85","PEÓN ESPECIALIZADO"
"__export__.hr_employee_categoriapuesto_7478","37","PEÓN FORESTAL"
"__export__.hr_employee_categoriapuesto_7479","113","PEÓN LIMPIEZA"
"__export__.hr_employee_categoriapuesto_7480","40","PEÓN OFICIAL"
"__export__.hr_employee_categoriapuesto_7481","41","PEÓN RECOGIDA"
"__export__.hr_employee_categoriapuesto_7482","116","PERSONAL DE VUELO DE EMERGENCIA SANITARIA (HEMS)"
"__export__.hr_employee_categoriapuesto_7483","71","PROGRAMADOR JUNIOR"
"__export__.hr_employee_categoriapuesto_7484","72","PROGRAMADOR SENIOR"
"__export__.hr_employee_categoriapuesto_7485","77","RESPONSABLE DE GRUPO"
"__export__.hr_employee_categoriapuesto_7486","17","SIN CATEGORÍA"
"__export__.hr_employee_categoriapuesto_7487","86","SUPERVISOR"
"__export__.hr_employee_categoriapuesto_7488","82","TÉCNICO ESTUDIO"
"__export__.hr_employee_categoriapuesto_7489","107","TÉCNICO DE APOYO"
"__export__.hr_employee_categoriapuesto_7490","98","TÉCNICO DE CALIDAD"
"__export__.hr_employee_categoriapuesto_7491","10","TÉCNICO DIPLOMADO"
"__export__.hr_employee_categoriapuesto_7492","111","TÉCNICO FORMACIÓN"
"__export__.hr_employee_categoriapuesto_7493","108","TÉCNICO GEÓGRAFO"
"__export__.hr_employee_categoriapuesto_7494","9","TÉCNICO LICENCIADO"
"__export__.hr_employee_categoriapuesto_7495","81","TÉCNICO NO DIPLOMADO"
"__export__.hr_employee_categoriapuesto_7496","12","TÉCNICO NO TITULADO"
"__export__.hr_employee_categoriapuesto_7497","120","TÉCNICO TITULADO"
"__export__.hr_employee_categoriapuesto_7498","51","TÉCNICO 2ª"
"__export__.hr_employee_categoriapuesto_7499","7","TITULADO MEDIO"
"__export__.hr_employee_categoriapuesto_7500","6","TITULADO SUPERIOR"
"__export__.hr_employee_categoriapuesto_7501","26","TOPÓGRAFO"
"__export__.hr_employee_categoriapuesto_7502","54","TOPÓGRAFO 2ª"
"__export__.hr_employee_categoriapuesto_7503","70","TRACTORISTA"
"__export__.hr_employee_categoriapuesto_7504","30","VIGILANTE"
"__export__.hr_employee_categoriapuesto_7505","87","BRIFOR PEON ESPECIALISTA"
"__export__.hr_employee_categoriapuesto_7506","110","OPERARIO ALMACÉN"
"__export__.hr_employee_categoriapuesto_7507","50","PEÓN LIMPIEZA"
