"id","code","name"
"__export__.hr_employee_tiporecurso_1","22","BATERÍA PORTÁTIL"
"__export__.hr_employee_tiporecurso_2","3","BLACKBERRY"
"__export__.hr_employee_tiporecurso_3","9","CÁMARA DIGITAL"
"__export__.hr_employee_tiporecurso_4","11","CARGADOR COCHE"
"__export__.hr_employee_tiporecurso_5","5","CARGADOR TELÉFONO"
"__export__.hr_employee_tiporecurso_6","19","DISCO DURO EXTERNO"
"__export__.hr_employee_tiporecurso_7","7","GPS"
"__export__.hr_employee_tiporecurso_8","8","IMPRESORA"
"__export__.hr_employee_tiporecurso_9","14","IMPRESORA A3"
"__export__.hr_employee_tiporecurso_10","4","LLAVE VERDE ENTRADA - PUERTA ACCESO TRABAJADORES"
"__export__.hr_employee_tiporecurso_11","17","MALETÍN PORTÁTIL"
"__export__.hr_employee_tiporecurso_12","6","MANOS LIBRES BLUETOOTH"
"__export__.hr_employee_tiporecurso_13","20","MÓDULO RAM"
"__export__.hr_employee_tiporecurso_14","16","MONITOR"
"__export__.hr_employee_tiporecurso_15","21","MULTIFUNCIÓN"
"__export__.hr_employee_tiporecurso_16","13","ORDENADOR PORTÁTIL"
"__export__.hr_employee_tiporecurso_17","18","OTROS"
"__export__.hr_employee_tiporecurso_18","12","TARJETA SD PARA CÁMARA"
"__export__.hr_employee_tiporecurso_19","10","PENDRIVE"
"__export__.hr_employee_tiporecurso_20","23","TARJETA SURTIDOR GRUPO GENERALA"
"__export__.hr_employee_tiporecurso_21","15","TELÉFONO INALÁMBRICO"
"__export__.hr_employee_tiporecurso_22","1","TELÉFONO MÓVIL"
"__export__.hr_employee_tiporecurso_23","2","VEHÍCULO EMPRESA"
