"id","code","name"
"__export__.hr_infraction_category_1","36","ALEGACIONES PRESENTADAS TRABAJADOR"
"__export__.hr_infraction_category_2","21","AMONESTACIÓN ESCRITA POR SIMULAR PRESENCIA DE OTRO TRABAJADOR EN OBLIGACIONES LABORALES"
"__export__.hr_infraction_category_3","33","AMONESTACION ESCRITA RETRASO INJUSTIFICADO DESEMPEÑO FUNCIONES SIEMPRE QUE NO PERTURBEN SERVICIO"
"__export__.hr_infraction_category_4","20","AMONESTACION ESCRITO POR ABUSO O FRAUDE CONFIANZA EN GESTIONES ENCOMENDADAS"
"__export__.hr_infraction_category_5","7","AMONESTACION ESCRITO POR AUSENCIA TRABAJO"
"__export__.hr_infraction_category_6","13","AMONESTACION POR DESOBEDIENCIA SUPERIOR Y DESCUIDO MATERIALES DE TRABAJO"
"__export__.hr_infraction_category_7","31","AMONESTACION POR EMPLEO USO PROPIO MEDIOS DE LA EMPRESA"
"__export__.hr_infraction_category_8","18","AMONESTACION POR ESCRITO ABANDONO BRIGADA"
"__export__.hr_infraction_category_9","8","AMONESTACION POR ESCRITO FALTA ASEO Y LIMPIEZA"
"__export__.hr_infraction_category_10","9","AMONESTACION POR ESCRITO FALTA RESPETO/DISCUSION"
"__export__.hr_infraction_category_11","11","AMONESTACION POR ESCRITO OCULTACION PRODUCTOS LIMPIEZA"
"__export__.hr_infraction_category_12","12","AMONESTACION POR LLEGAR TARDE AL PUESTO TRABAJO"
"__export__.hr_infraction_category_13","19","AMONESTACION VERBAL"
"__export__.hr_infraction_category_14","6","AVISO POR OCULTACION DE DATOS"
"__export__.hr_infraction_category_15","34","CARTA ADVERTENCIA POR ABANDONO PUESTO TRABAJO"
"__export__.hr_infraction_category_16","28","CARTA ADVERTENCIA POR FALTA RESPETO COMPAÑEROS Y/O SUPERIORES"
"__export__.hr_infraction_category_17","35","CARTA ADVERTENCIA POR NEGARSE A RECIBIR DOCUMENTACION FORMACION ART.29LPRL"
"__export__.hr_infraction_category_18","38","CARTA DE ADVERTENCIA"
"__export__.hr_infraction_category_19","27","CARTA DE ADVERTENCIA POR FALTA DISCIPLINA Y PROFESIONALIDAD"
"__export__.hr_infraction_category_20","2","EJECUCION DE SANCION DE EMPLEO Y SUELDO"
"__export__.hr_infraction_category_21","39","NO EJECUCION SANCION"
"__export__.hr_infraction_category_22","37","PARTE DE INCIDENCIAS TECNICO O CAPATAZ"
"__export__.hr_infraction_category_23","32","PARTE INCIDENCIA - COMUNICACION VERBAL"
"__export__.hr_infraction_category_24","10","POR IMPRUDENCIA O NEGLIGENCIA EN EL DESEMP. TRABAJO"
"__export__.hr_infraction_category_25","22","SANCION POR ABANDONO INJUSTIFICADO DEL TRABAJO"
"__export__.hr_infraction_category_26","3","SANCION POR AUSENCIA AL TRABAJO"
"__export__.hr_infraction_category_27","30","SANCION POR DESOBEDIENCIA A SUPERIORES EN MATERIA TRABAJO LABORAL"
"__export__.hr_infraction_category_28","24","SANCION POR FRAUDE, ABUSO DE CONFIANZA, HURTO O ROBO TANTO A EMPRESA COMO COMPAÑEROS"
"__export__.hr_infraction_category_29","16","SANCION POR INCUMPLIMIENTO OBLIGAC.MATERIA SEGURIDAD Y SALUD LABORAL"
"__export__.hr_infraction_category_30","4","SANCION POR INSULTAR A SUPERIOR"
"__export__.hr_infraction_category_31","17","SANCION POR LLEGAR TARDE AL SER LOCALIZADO - INCENDIOS"
"__export__.hr_infraction_category_32","14","SANCION POR LLEGAR TARDE SIN AVISAR"
"__export__.hr_infraction_category_33","5","SANCION POR MAL USO DE RECURSOS ENTREGADOS"
"__export__.hr_infraction_category_34","26","SANCION POR MALOS TRATOS DE PALABRA U OBRA O LA FALTA GRAVE DE RESPETO Y CONSIDERACION A LOS SUPERIORES, COMPAÑEROS Y SUBORDINADOS DURANTE EL TRABAJO"
"__export__.hr_infraction_category_35","15","SANCION POR NO CUMPLIR PROTOCOLOS MARCADOS"
"__export__.hr_infraction_category_36","25","SANCION POR NO LOCALIZACION EN SITUACION DE EMERGENCIA CUANDO LE TOQUE ESTAR DISPONIBLE ART.26.1.I"
"__export__.hr_infraction_category_37","23","SANCION POR SIMULAR MEDIANTE CUALQUIER FORMA DE PRESENCIA A OTRO TRABAJADOR EN MATERIA DE OBLIGACIONES LABORALES"
"__export__.hr_infraction_category_38","29","SANCION POR UTILIZACION HERRAMIENTAS, MEDIOS EMPRESA PARA USO PROPIO"
"__export__.hr_infraction_category_39","1","SANCION 1"
