"id","code","name"
"__export__.hr_employee_tiposolicitud_1","7","AMONESTACIÓN - SANCIÓN"
"__export__.hr_employee_tiposolicitud_2","2","CAMBIO DE HORARIO - TURNO"
"__export__.hr_employee_tiposolicitud_3","1","CAMBIO DE PUESTO"
"__export__.hr_employee_tiposolicitud_4","4","COBERTURA DE VACANTE"
"__export__.hr_employee_tiposolicitud_5","9","COMUNICACIONES SEGURIDAD SOCIAL"
"__export__.hr_employee_tiposolicitud_6","13","ENVÍO BUROFAX CONTESTACIÓN"
"__export__.hr_employee_tiposolicitud_7","3","EXCEDENCIA"
"__export__.hr_employee_tiposolicitud_8","8","OTROS"
"__export__.hr_employee_tiposolicitud_9","6","PERMISO SIN SUELDO"
"__export__.hr_employee_tiposolicitud_10","11","PERMUTA PUESTO TRABAJO"
"__export__.hr_employee_tiposolicitud_11","5","REDUCCIÓN DE JORNADA"
"__export__.hr_employee_tiposolicitud_12","12","REDUCCIÓN IRPF"
"__export__.hr_employee_tiposolicitud_13","10","REINCORPORACIÓN AL PUESTO POR AUTO JUDICIAL"
